name,online_order,book_table,ratings(out of 5),votes,location,dish_liked,cuisines,cost(2 People)
Jalsa,Yes,Yes,4.1,775,Banashankari,"Pasta, Lunch Buffet, Masala Papad, Paneer Lajawab, Tomato Shorba, Dum Biryani, Sweet Corn Soup","North Indian, Mughlai, Chinese",800
Spice Elephant,Yes,No,4.1,787,Banashankari,"Momos, Lunch Buffet, Chocolate Nirvana, Thai Green Curry, Paneer Tikka, Dum Biryani, Chicken Biryani","Chinese, North Indian, Thai",800
San Churro Cafe,Yes,No,3.8,918,Banashankari,"Churros, Cannelloni, Minestrone Soup, Hot Chocolate, Pink Sauce Pasta, Salsa, Veg Supreme Pizza","Cafe, Mexican, Italian",800
Addhuri Udupi Bhojana,No,No,3.7,88,Banashankari,Masala Dosa,"South Indian, North Indian",300
Grand Village,No,No,3.8,166,Basavanagudi,"Panipuri, Gol Gappe","North Indian, Rajasthani",600
Timepass Dinner,Yes,No,3.8,286,Basavanagudi,"Onion Rings, Pasta, Kadhai Paneer, Salads, Salad, Roti, Jeera Rice",North Indian,600
Onesta,Yes,Yes,4.6,2556,Banashankari,"Farmhouse Pizza, Chocolate Banana, Virgin Mojito, Pasta, Paneer Tikka, Lime Soda, Prawn Pizza","Pizza, Cafe, Italian",600
Penthouse Cafe,Yes,No,4.0,324,Banashankari,"Pizza, Mocktails, Coffee, Nachos, Salad, Pasta, Sandwiches","Cafe, Italian, Continental",700
Smacznego,Yes,No,4.2,504,Banashankari,"Waffles, Pasta, Coleslaw Sandwich, Choco Waffle, Tacos, Momos, Cheese Nachos","Cafe, Mexican, Italian, Momos, Beverages",550
CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ© Down The Alley,Yes,No,4.1,402,Banashankari,"Waffles, Pasta, Crispy Chicken, Honey Chilli Chicken, Sandwich, Coffee, Crepe",Cafe,500
Cafe Shuffle,Yes,Yes,4.2,150,Banashankari,"Mocktails, Peri Fries, Lasagne, Pizza, Chicken Bbq Wings, Virgin Mojito, Nachos","Cafe, Italian, Continental",600
The Coffee Shack,Yes,Yes,4.2,164,Banashankari,"Coffee, Spaghetti, Pancakes, Nachos, Pasta, Sandwich, Garlic Bread","Cafe, Chinese, Continental, Italian",500
Caf-Eleven,No,No,4.0,424,Banashankari,"Sandwich, Omelette, Ice Tea, Virgin Mojito, Hot Chocolate, Pasta Arrabiata, Hazelnut Cappuccino","Cafe, Continental",450
San Churro Cafe,Yes,No,3.8,918,Banashankari,"Churros, Cannelloni, Minestrone Soup, Hot Chocolate, Pink Sauce Pasta, Salsa, Veg Supreme Pizza","Cafe, Mexican, Italian",800
Cafe Vivacity,Yes,No,3.8,90,Banashankari,"Garlic Bread, Burgers, Sandwiches, Pizza, Hot Chocolate Fudge, Waffles, Potato Wedges",Cafe,650
Catch-up-ino,Yes,No,3.9,133,Banashankari,"Momos, Mushroom Bruschettas, Jalapeno Cheeseballs, Pasta, Red Velvet Shake, Red Velvet Milkshake, Maggi","Cafe, Fast Food, Continental, Chinese, Momos",800
Kirthi's Biryani,Yes,No,3.8,144,Banashankari,"Pasta, Gelato, Garlic Bread, Mojito, Nachos, Paneer Pizza, Mocktails","Chinese, Cafe, Italian",700
T3H Cafe,No,No,3.9,93,Banashankari,"Cheese Maggi, Peri Peri Fries, Pasta Arrabiata","Cafe, Italian, American",300
The Vintage Cafe,Yes,No,3.0,62,Banashankari,"Burgers, Caramel Milkshake, Iced Coffee, Iced Tea","Cafe, French, North Indian",400
Woodee Pizza,Yes,No,3.7,180,Banashankari,"Pizza, Garlic Bread","Cafe, Pizza, Fast Food, Beverages",500
My Tea House,Yes,No,3.6,62,Banashankari,"Pasta, Iced Tea","Italian, Fast Food, Cafe, European",600
Srinathji's Cafe,No,No,3.8,148,Basavanagudi,"Paratha, Sandwich, Chilli Idli, Noodles, Sandwiches, Lime Soda","North Indian, Cafe, Chinese, Fast Food",550
Redberrys,Yes,No,4.0,219,Basavanagudi,"Pizza, Fries, Anjeer Ice Cream, Sandwiches, Gelato, Burgers, Kesar Badam","Cafe, Italian",600
Foodiction,Yes,No,2.8,506,Banashankari,"Burgers, Lassi, Chicken Grill, Naan, Momos, Chicken Burger, Biryani","North Indian, Fast Food, Chinese, Burger",500
